date,co2_ppm,ch4_ppb,n2o_ppb,anomaly,irradiance,co2,primary_energy_consumption,land_use_change_co2,time_since_baseline,co2_ppm_growth_rate,ch4_ppb_growth_rate,n2o_ppb_growth_rate,co2_ma_12,temp_ma_12
2007-09-01,381.2,1785.87,320.46,60.0,,,,,48.6652977412731,0.005698607007175838,0.006362068771202267,0.0020011256331686766,383.4783333333333,70.91666666666667
2007-10-01,381.37,1789.69,320.73,59.0,,,,,48.747433264887064,0.0053779031450189585,0.0064332911570363915,0.0022812500000000124,383.6483333333333,70.0
2007-11-01,382.7,1789.32,320.95,59.0,,,,,48.832306639288156,0.006178519784409087,0.0057783973378899844,0.0024675162418790197,383.8441666666667,68.83333333333333
2007-12-01,384.19,1788.08,321.16,49.0,,,,,48.91444216290212,0.005680330872729122,0.004590119725154551,0.0027789052986544327,384.02500000000003,66.33333333333333
2008-01-01,385.78,1786.7,321.33,30.0,,32049.66,137229.406,5951.02,48.99931553730322,0.006995562516314058,0.004187157510186834,0.0030278436758646166,384.2483333333334,60.416666666666664
2008-02-01,386.06,1785.82,321.39,38.0,,,,,49.08418891170431,0.005050505050504972,0.004019857534000026,0.0031525063986515,384.41,57.75
2008-03-01,386.28,1786.16,321.38,75.0,,,,,49.163586584531146,0.0038200670460746267,0.003314122656241203,0.003434494817035061,384.5325,58.083333333333336
2008-04-01,387.33,1786.89,321.39,54.0,,,,,49.24845995893224,0.0015514700178418384,0.003295864167724094,0.0037791242426135074,384.5825,56.166666666666664
2008-05-01,388.78,1785.21,321.43,50.0,,,,,49.3305954825462,0.005170898185014705,0.0033328087765838177,0.0037786521766285386,384.74916666666667,54.583333333333336
2008-06-01,387.99,1780.46,321.45,49.0,,,,,49.4154688569473,0.00429684466647684,0.0028048753013270034,0.003778416187859124,384.8875,53.583333333333336
2008-07-01,386.61,1777.64,321.42,60.0,,,,,49.497604380561256,0.004886543809944577,0.0028093373799826793,0.0038728215378849296,385.04416666666674,53.583333333333336
2008-08-01,384.32,1781.05,321.4,45.0,,,,,49.582477754962355,0.005441607367099088,0.0020930271812213963,0.003684966585472349,385.2175,52.333333333333336
2008-09-01,383.41,1787.65,321.49,60.0,,,,,49.667351129363446,0.005797481636936164,0.0009967130866188612,0.00321412968857282,385.40166666666664,52.333333333333336
2008-10-01,383.22,1793.68,321.65,67.0,,,,,49.74948665297741,0.004850932165613608,0.0022294363828372354,0.002868456333988023,385.55583333333334,53.0
2008-11-01,384.41,1797.31,321.8,69.0,,,,,49.83436002737851,0.004468251894434339,0.004465383497641584,0.0026483875993146277,385.6983333333333,53.833333333333336
2008-12-01,385.79,1796.57,321.98,53.0,,,,,49.91649555099247,0.004164606054296138,0.00474810970426387,0.002553244488728401,385.83166666666665,54.166666666666664
2009-01-01,387.17,1795.06,322.21,64.0,,31513.014,135033.219,6534.817,50.001368925393564,0.0036030898439525227,0.004679017182515288,0.0027386176205146384,385.9475,57.0
2009-02-01,387.7,1795.59,322.34,53.0,,,,,50.08624229979466,0.004248044345438462,0.00547087612413355,0.0029559102647873647,386.0841666666666,58.25
2009-03-01,389.04,1795.93,322.27,53.0,,,,,50.16290212183436,0.007145076110593562,0.005469834729251666,0.0027693073620014275,386.3141666666666,56.416666666666664
2009-04-01,389.76,1795.55,322.1,61.0,,,,,50.247775496235455,0.00627372008364957,0.00484640912423262,0.0022091539873674293,386.51666666666665,57.0
2009-05-01,390.36,1792.4,321.98,65.0,,,,,50.32991101984942,0.004063995061474479,0.004027537376555257,0.0017111035062067348,386.64833333333337,58.25
2009-06-01,389.7,1786.95,321.95,64.0,,,,,50.41478439425051,0.004407330085826944,0.0036451254170271064,0.0015554518587650445,386.7908333333334,59.5
2009-07-01,388.24,1785.06,322.02,73.0,,,,,50.496919917864474,0.004216135123250808,0.004174073490695429,0.0018667164457717433,386.9266666666667,60.583333333333336
2009-08-01,386.29,1788.92,322.15,69.0,,,,,50.58179329226557,0.005125936719400537,0.00441874175346002,0.002333540759178687,387.09083333333336,62.583333333333336
2009-09-01,384.95,1794.81,322.3,72.0,,,,,50.666666666666664,0.0040165879867504195,0.004005258300002756,0.0025195184920214775,387.2191666666667,63.583333333333336
2009-10-01,384.64,1798.01,322.51,65.0,,,,,50.74880219028063,0.003705443348468229,0.002414031488336743,0.0026737136639205517,387.33750000000003,63.416666666666664
